sku,nome,categoria,preco
3141229,Placa de VÃ­deo Arktek GeForce GT610 Cyclops 2GB 64bit DDR3 HDMI DVI-D VGA (AKN6,Placa de Vi­deo,39.75
3141489,Placa de VÃ­deo Arktek GeForce GT730 Cyclops 1GB 128bit DDR3 HDMI DVI-D VGA (AKN,Placa de Vi­deo,47.75
3141199,Placa de VÃ­deo Arktek GeForce GT730 Cyclops 2GB 128bit DDR3 HDMI DVI-D VGA (AKN,Placa de Vi­deo,59.75
3141236,Placa de VÃ­deo Arktek GeForce GT740 Cyclops 2GB 128bit GDDR5 HDMI DVI-D VGA (AK,Placa de Vi­deo,97.5
2436968,Placa de VÃ­deo Arktek Radeon R5 230 Cyclops 1GB 64bit GDDR3 HDMI DVI-D VGA (AKR,Placa de Vi­deo,35.75
2437057,Placa de VÃ­deo Arktek Radeon R5 230 Cyclops 2GB 64bit GDDR3 HDMI DVI-D VGA (AKR,Placa de Vi­deo,39.75
2975092,Placa de VÃ­deo ASRock Radeon RX 6500 XT OC 4GB GDDR6 PCI-E DP HDMI,Placa de Vi­deo,270
2895215,Placa de VÃ­deo ASRock Radeon RX 6600 XT Challenger Pro 8GB GDDR6 PCI-E DP HDMI,Placa de Vi­deo,515
3042892,Placa de VÃ­deo Asus KO GeForce RTX 3070 V2 OC 8GB GDDR6 90YV0FQF-M0NA00 (LHR),Placa de Vi­deo,705
3311592,Placa de VÃ­deo Asus Radeon RX 6700 XT Dual OC 12GB GDDR6 (90YV0G83-M0NA00),Placa de Vi­deo,650
3042885,Placa de VÃ­deo Asus Tuf Gaming GeForce GTX 1660Ti Evo OC 6GB GDDR6 (90YV0CT7-M0,Placa de Vi­deo,395
3140673,Placa de Video Colorful GeForce GT1030 2GB GDDR5 HDMI VGA (GT1030 2G V4-V),Placa de Vi­deo,97.75
3140604,Placa de VÃ­deo Colorful GeForce GT730 2GB GDDR3 HDMI DVI-D VGA (GT730K 2GD3-V),Placa de Vi­deo,74.75
3252529,Placa de VÃ­deo EVGA GeForce GTX1650 SUPER SC Ultra 4GB GDDR6 (04G-P4-1357-KR),Placa de Vi­deo,242.75
2963389,Placa de VÃ­deo EVGA GeForce RTX 3070 FTW3 Ultra 8GB GDDR6 08G-P5-3767-KL (LHR),Placa de Vi­deo,695
3252574,Placa de VÃ­deo EVGA GeForce RTX2060 SC Gaming 6GB GDDR6 (06G-P4-2062-KR),Placa de Vi­deo,415
3011652,Placa de VÃ­deo Gigabyte GeForce RTX 3070 Gaming OC 8GB GDDR6 GV-N3070GAMING OC-,Placa de Vi­deo,895
2873183,Placa de VÃ­deo Go Line AMD Radeon R5 230 1GB DDR3 (GL-R5-230-2GB-DDR3),Placa de Vi­deo,34.5
3118634,Placa De VÃ­deo Goline GeForce GT210 1GB DDR2 (GL-GT210-1D2),Placa de Vi­deo,26.75
3118658,Placa de VÃ­deo GOLINE GeForce GT220 1GB DDR3 PCI-E VGA HDMI DVI-D (GL-220-1GB),Placa de Vi­deo,29.75
990479,Placa de VÃ­deo GoLine Nvidia GT210 1GB DDR3 PCI-E VGA HDMI DVI-D,Placa de Vi­deo,28.5
2873138,Placa de VÃ­deo GoLine Nvidia GT730 2GB DDR3 PCI-E VGA HDMI DVI-D,Placa de Vi­deo,51.75
3011195,Placa de VÃ­deo GoLine Radeon R5 230 2GB DDR3 (GL-R5-230-2GB DDR3),Placa de Vi­deo,39.75
3140574,Placa de VÃ­deo iGame GeForce RTX 3060 Ti Advanced OC 8GB GDDR6 (LHR-V),Placa de Vi­deo,759
3140581,Placa de Video iGame GeForce RTX3050 NB EX-V 8GB GDDR6 DP HDMI,Placa de Vi­deo,385
3140598,Placa de VÃ­deo iGame GeForce RTX3050 Ultra W OC 8GB GDDR6 DP HDMI,Placa de Vi­deo,405
2732794,Placa de VÃ­deo MSI GeForce GT 730 OC 4GB DDR3 PCI-E VGA HDMI DVI-D,Placa de Vi­deo,110
1507416,Placa de VÃ­deo MSI GeForce GT730 OC 2GB DDR3 VGA HDMI DVI-D,Placa de Vi­deo,87.75
2269931,Placa de VÃ­deo MSI GeForce N210 1GB DDR3 PCI-E VGA HDMI DVI-D,Placa de Vi­deo,38
3311622,Placa de VÃ­deo MSI GeForce RTX 2060 Ventus OC 12GB GDDR6 (912-V375-684),Placa de Vi­deo,425
955171,Placa de vÃ­deo MSI Nvidia GeForce 210 VGA DVI HDMI 1GB DDR3 PCI-E,Placa de Vi­deo,39.5
3186367,Placa de VÃ­deo MSI Radeon RX 6650 XT Gaming X 8GB GDDR6 (912-V502-061),Placa de Vi­deo,493
3311615,Placa de VÃ­deo MSI Radeon RX 6750 XT Mech 2X OC 12GB GDDR6 (912-V399-002),Placa de Vi­deo,490
3256671,Placa de VÃ­deo NVIDIA GeForce GT210 1GB DDR3 DVI HDMI,Placa de Vi­deo,26.8
3256688,Placa de VÃ­deo NVIDIA GeForce GT730 4GB DDR3 VGA DVI HDMI,Placa de Vi­deo,65.7
3256664,Placa de VÃ­deo NVIDIA GeForce GT740 2GB DDR5 VGA DVI HDMI,Placa de Vi­deo,59.7
3038031,Placa de VÃ­deo Palit GeForce GTX 1660 Super GP 6GB GDDR6 NE6166S018J9-1160A-1,Placa de Vi­deo,323
3043929,Placa de VÃ­deo Palit GeForce RTX 3070 GamingPro 8GB GDDR6X (NE63070019P2-1041A),Placa de Vi­deo,620
